Ep. No.,Brand,Male,Female,Location,Idea,Sector,Deal,Amount_Invested_lakhs,Amout_Asked,Debt_Invested,Debt_Asked,Equity_Taken_%,Equity_Asked_%,Avg_age,Team_members,Ashneer_Amount_Invested,Ashneer_Equity_Taken_%,Namita_Amount_Invested,Namita_Equity_Taken_%,Anupam_Amount_Invested,Anupam_Equity_Taken_%,Vineeta_Amount_Invested,Vineeta_Equity_Taken_%,Aman_Amount_Invested,Aman_Equity_Taken_%,Peyush_Amount_Invested,Peyush_Equity_Taken_%,Ghazal_Amount_Invested,Ghazal_Equity_Taken_%,Total_investors,Partners,
26,Isak Fragrances,0,1,Lucknow,Perfumes,Lifestyle,50 lakhs for 50% Equity,50,50,0,0,50,8,30035,1,0,0,0,0,0,0,0,0,0,0,50,50,0,0,1,Pey,0
26,Julaa Automation,3,0,Gujarat,Automatic Cradle,Technology,No Deal,0,50,0,0,0,10,30035,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
26,Rare Planet,2,0,Kolkata,Handicrafts,Lifestyle,65 lakhs for 3% Equity,65,65,0,0,3,1,30035,2,0,0,65,3,0,0,0,0,0,0,0,0,0,0,1,-m,0
27,Theka Coffee,1,0,Gujarat,Coffee Products,food,No Deal,0,50,0,0,0,10,30035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
27,Watt Technovations,0,0,N/A,Ventilated PPE Kits,N/A,101 for 4% Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ama-Anu--m-Pey,0
27,Aliste Technologies,6,0,Noida,Automation Solutions,Technology,No Deal,0,60,0,0,0,5,20025,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
27,Insurance Samadhan,2,1,Noida,Insurance Solutions,Finance,1 Crore for 4% Equity,100,100,0,0,4,1,30035,5,0,0,0,0,0,0,0,0,0,0,100,4,0,0,1,Pey,0
28,Humpy A2,2,1,Pune,Organic Milk Products,Food,1 Crore for 15% Equity,100,100,0,0,15,15,35040,3,0,0,0,0,0,0,33,5,0,0,33,5,33,5,3,Gha-Pey-Vin,1
28,Kunafa World,1,1,Bangalore,Kunafa,Food,No Deal,0,90,0,0,0,5,30035,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
28,Gold Safe Solutions Ind.,2,0,Mumbai,Anti-Suicidal Fan Rod,Safety,50 lakhs for 30% Equity,50,50,0,0,30,5,30035,2,0,0,0,0,0,0,17,10,0,0,17,10,17,10,3,Gha-Pey-Vin,1
29,Wakao Foods,1,0,Goa,Jackfruit Products,Food,75 lakhs for 21% Equity,75,75,0,0,21,5,30035,1,0,0,25,7,0,0,25,7,0,0,0,0,25,7,3,Gha--m-Vin,0
29,PDD Falcon,1,1,Kaithal,Stainless Steel Items,Lifestyle,No Deal,0,75,0,0,0,3,30035,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
29,PlayBox TV,2,0,Mumbai,Streaming Platform,Lifestyle,No Deal,0,100,0,0,0,4,30035,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
30,Sippline Drinking Shields,1,0,Pune,Portable Glass Attachment,Lifestyle,No Deal,0,75,0,0,0,15,30035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
30,Kabaddi Adda,2,1,Mumbai,Kabaddi Adda,Entertainment,80 lakhs for 6% Equity,80,80,0,0,6,1,35040,3,0,0,40,3,0,0,40,3,0,0,0,0,0,0,2,-m-Vin,0
30,Shades of Spring,1,1,Bangalore,Flowers,Lifestyle,No Deal,0,300,0,0,0,1,30035,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
30,Scholify,1,0,Bangalore,Scholarship Platform,Education,No Deal,0,50,0,0,0,8,25030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
